track_name,source,peak_rank,weeks_on_chart,streams
Nee Singam Dhan,Sony Music Entertainment India Pvt. Ltd.,94,24,1831195
Neele Neele Ambar Par - Male Version,Sony Music India / 550 Music,179,2,1326774
Night Changes,Syco Music,22,196,1463976
No Love,SHUBH,2,138,1263406
Not Like You,Hammy Muzic,188,7,1556797
O Maahi,T-Series,4,97,2535684
O Meri Laila,Zee Music Company,16,64,1762135
O Rangrez,Sony Music Entertainment India Pvt. Ltd.,159,53,2274621
O Re Piya,YRF Music,95,42,1282664
O Saathi,T-Series,52,171,2564660
"O Shera - Teer Te Taj (Film Version) - From ""Kesari Chapter 2""",Zee Music Company,117,3,1562770
"Og Sambavam (From ""Good Bad Ugly"")",T-Series,151,1,1448952
Oh Mama! TETEMA,T-Series,125,1,1611498
Old Money,AP Dhillon,13,38,1758561
One Love,SHUBH,3,116,2575056
"One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,98,83,1547966
Oorum Blood,Think Music,5,10,5729055
"Oorum Blood - From ""Dude""",Think Music,89,8,6128727
PAN INDIA,T-Series,116,3,1769887
PASSO BEM SOLTO - Slowed,broke,197,10,1527635
"PERFECT (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,79,6,2315776
Paaro,Universal Music India Pvt Ltd.,150,34,2890598
Pal,Sony Music Entertainment India Pvt. Ltd.,34,335,1778197
Pal Pal,Afusic,156,6,6370931
Pal Pal (with Talwiinder),Afusic,69,3,2772203
"Pal Pal Dil Ke Paas - From ""Blackmail""",Universal Music India Pvt Ltd.,115,20,2302404
"Pal Pal Dil Ke Paas - Title Track - From ""Pal Pal Dil Ke Paas""",Zee Music Company,3,157,1691200
Pani Da Rang - Male,Sony Music / EROS Music,68,62,1926654
Paniyon Sa,T-Series,68,87,1312029
"Panwadi (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,140,6,1656327
"Pardesiya - From ""Param Sundari""",Universal Music India Pvt Ltd.,20,14,5906237
Paro,Universal Music India Pvt Ltd.,47,35,4512895
"Pathikichu (From ""Vidaamuyarchi"")",Sony Music Entertainment India Pvt. Ltd.,153,3,1459264
"Paththavaikkum (From ""Devara Part 1"")",T-Series,132,11,2585644
Payal,T-Series,14,36,3342763
Pee Loon,T-Series,37,90,1946994
"Peelings (From ""Pushpa 2 The Rule"") [TELUGU]",T-Series,19,10,2283042
Pehle Bhi Main,T-Series,1,92,2778582
Pehli Dafa,T-Series,90,105,2516396
Perfect,Atlantic Records UK,29,287,1691633
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Saregama India Ltd,1,106,1607800
Phir Bhi Tumko Chaahunga,Zee Music Company,149,51,1855143
"Phir Mohabbat (From ""Murder 2"")",T-Series,135,51,1784172
Pirai Thedum,Gemini Audio/Gemini Entertainment & Mobile Media Services,107,5,1354802
Piya O Re Piya,Tips Music Limited,114,18,1731718
Police,Brown Town Music,69,12,1990494
"Pottala Muttaye - From ""Thalaivan Thalaivii""",Think Music,112,11,1804412
Powerhouse,Sun Pictures,20,16,4726621
"Powerhouse (From ""Coolie"") (Tamil)",Sun Pictures,184,2,3716784
"Preet Re - From ""Dhadak 2""",Zee Music Company,185,14,2396768
"Premalo (From ""Court"")",Saregama India Ltd,53,11,2962678
Pretty Little Baby,Universal Records,125,4,1606064
Proper Patola,Sony Music Entertainment India Pvt. Ltd.,18,120,1203721
Qaafirana,Zee Music Company,40,189,1350590
Qatal,Warner Music India,116,28,5498417
Qayde Se,T-Series,198,7,1709404
Raabta,T-Series,41,160,2393948
"Raanjhan (From ""Do Patti"")",T-Series,2,55,9492013
"Raanjhanaa (From ""Raanjhanaa"")",Sony Music Entertainment India Pvt. Ltd.,110,64,2183883
"Raat Bhar (From ""De De Pyaar De 2"")",T-Series,37,1,2693733
Raat Ke Shikari,Sonotek Cassettes,172,22,3288498
Raatein Guzaari,Tips Music Limited,198,3,1342678
Rahein Na Rahein Hum - From “Thamma”,Universal Music India Pvt. Ltd.,107,2,1824494
Ramayan Ka Saar,Masoom Sharma,185,21,2032858
"Rang (From ""Sky Force"")",Saregama India Ltd,198,1,1252551
Rang Lageya,Saregama,35,77,1283451
Ranjha,Sony Music Entertainment India Pvt. Ltd.,1,178,1861535
"Ranjha (From ""Shershaah"")",Sony Music Entertainment India Pvt. Ltd.,1,222,2570937
Ranjhea,Brown Town Music,156,1,1495453
Ranjheya Ve,Zain Zohaib,187,37,3024232
"Rise Of Dragon - From ""Dragon""",Think Music,193,1,1246249
Run It Up,Capitol Records/Universal Music India,154,5,2402731
Russian Bandana,Universal Music India Pvt Ltd.,6,58,3335686
SHERIYA,Universal Music India Pvt Ltd.,147,3,1501524
STFU,AP Dhillon,30,25,3228944
Sahiba,T-Series,1,18,12797116
Saibo,Sony Music Entertainment India Pvt. Ltd.,31,262,2846074
Saiyaara,YRF Music,1,21,8188778
"Saiyaara (From ""Saiyaara"")",YRF Music,89,18,26355165
Saiyaara Reprise - Female,YRF Music,6,16,8481535
Saiyaara Teaser,YRF Music,168,1,1449924
Saiyyan,Sony Music Entertainment India Pvt. Ltd.,103,97,2258496
Sajde,Artiste First,185,23,4487634
Sajna,Darshan Raval,101,11,2151349
"Sajna Ve Sajna (From ""Vicky Vidya Ka Woh Wala Video"")",T-Series,177,1,1264019
"Sajni (From ""Laapataa Ladies"")",T-Series,1,79,3850295
Salambala,Times Music,116,4,1760297
Samjhawan,Sony Music Entertainment India Pvt. Ltd.,70,220,1792899
Samjho Na,CollabX Productions,23,133,4069920
Sanam Teri Kasam,Sony Music / EROS Music,74,39,7433206
Sanam Teri Kasam - Reprise,Sony Music / EROS Music,152,2,1462570
Sang Rahiyo,Warner Music India,21,87,3377550
Sapphire,Gingerbread Man Records / Atlantic Records UK,5,16,7713661
"Satranga (From ""ANIMAL"")",T-Series,2,106,3051377
Sawaar Loon,T-Series,53,16,1217335
"Sawadeeka (From ""Vidaamuyarchi"")",Sony Music Entertainment India Pvt. Ltd.,200,8,1716387
Señorita,Island Records,1,226,1648696
Shake It To The Max (FLY) - Remix,WONDERGIRL LLC,175,3,1324594
Shaky,Sanjay Rathod,94,25,5939530
Shape of You,Atlantic Records UK,63,268,2028744
Shayad,Sony Music Entertainment India Pvt. Ltd.,1,303,2106009
Shiv Tandav Stotram,Times Music,159,2,1329890
Shree Hanuman Chalisa,T-Series,39,169,2587721
Shri Krishna Govind Hare Murari,T-Series,35,37,1477219
Shubhaarambh,UTV,182,2,1402115
Singari,Think Music,70,3,2229041
"Singari - From ""Dude""",Think Music,96,1,1942829
Sirra,Warner Music India,47,16,5774477
"Sithira Puthiri - From ""Think Indie""",Think Music,159,12,1712164
Soch Na Sake,T-Series,46,127,2010023
Softly,WM Canada,4,116,3172926
"Soni Soni (From ""Ishq Vishk Rebound"")",Tips Industries Ltd,4,53,1780490
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",T-Series,89,13,1526629
Soulmate,Universal Music India Pvt Ltd.,2,61,1831537
Starboy,Universal Republic Records,12,223,1711204
Stay,Warner Music India,188,4,1331731
Subhanallah,T-Series,41,135,2511482
Sun Saathiya,Zee Music Company,121,44,1790584
Sundari,Sanjay Rathod,140,7,3113272
Suniyan Suniyan,Mix It Up Studio,3,77,2349676
"Sunn Mere Yaar Ve - From ""Param Sundari""",Universal Music India Pvt Ltd.,197,1,1262430
Sunn Raha Hai (Male Version),T-Series,146,23,1657432
Superstar,5.5 Records Under Exclusive License to AWAL,76,14,1960824
Supreme,Shubh,116,29,6759422
